,Depth,Train,Test1,Test2,Test3,Test4,Test5,Test6,Test7,Test8,Test9,Test10,Test11,Test12,Test13,Test14,Test15,Test16,Test17,Test18,Test19,Test20,Test21,Test22,Test23,Test24,Test25,Test26,Test27,Test28,Test29,Test30,Test31,Test32,Test33,Test34,Test35,Test36,Test37,Test38,Test39,Test40,Test41,Test42,Test43,Test44,Test45,Test46,Test47,Test48,Test49,Test50
0,1,63.63606846799315,63.63636363636363,63.92045454545454,63.12905844155844,64.0523538961039,63.58563311688312,62.96672077922077,63.8291396103896,63.484172077922075,63.524756493506494,64.13352272727273,63.75811688311688,63.67694805194806,63.34212662337663,63.717532467532465,62.98701298701299,64.1030844155844,63.930600649350644,63.35227272727273,64.6103896103896,63.5551948051948,64.35673701298701,63.59577922077923,64.00162337662337,63.84943181818182,63.72767857142857,63.61607142857143,64.24512987012987,63.930600649350644,63.28125,63.83928571428571,63.5551948051948,62.97686688311688,63.45373376623377,63.524756493506494,63.159496753246756,63.886352105530186,63.62252663622526,64.51547437848808,63.267376966007106,64.21106037544394,64.35312024353121,63.87620497209539,63.25722983257231,63.24708269913749,63.0339928970066,63.59208523592085,64.63723997970573,64.45459157787926,63.338406900050735,63.37899543378995
1,2,63.63606846799315,63.63636363636363,63.92045454545454,63.12905844155844,64.0523538961039,63.58563311688312,62.96672077922077,63.8291396103896,63.484172077922075,63.524756493506494,64.13352272727273,63.75811688311688,63.67694805194806,63.34212662337663,63.717532467532465,62.98701298701299,64.1030844155844,63.930600649350644,63.35227272727273,64.6103896103896,63.5551948051948,64.35673701298701,63.59577922077923,64.00162337662337,63.84943181818182,63.72767857142857,63.61607142857143,64.24512987012987,63.930600649350644,63.28125,63.83928571428571,63.5551948051948,62.97686688311688,63.45373376623377,63.524756493506494,63.159496753246756,63.886352105530186,63.62252663622526,64.51547437848808,63.267376966007106,64.21106037544394,64.35312024353121,63.87620497209539,63.25722983257231,63.24708269913749,63.0339928970066,63.59208523592085,64.63723997970573,64.45459157787926,63.338406900050735,63.37899543378995
2,3,63.63606846799315,63.63636363636363,63.92045454545454,63.12905844155844,64.0523538961039,63.58563311688312,62.96672077922077,63.8291396103896,63.484172077922075,63.524756493506494,64.13352272727273,63.75811688311688,63.67694805194806,63.34212662337663,63.717532467532465,62.98701298701299,64.1030844155844,63.930600649350644,63.35227272727273,64.6103896103896,63.5551948051948,64.35673701298701,63.59577922077923,64.00162337662337,63.84943181818182,63.72767857142857,63.61607142857143,64.24512987012987,63.930600649350644,63.28125,63.83928571428571,63.5551948051948,62.97686688311688,63.45373376623377,63.524756493506494,63.159496753246756,63.886352105530186,63.62252663622526,64.51547437848808,63.267376966007106,64.21106037544394,64.35312024353121,63.87620497209539,63.25722983257231,63.24708269913749,63.0339928970066,63.59208523592085,64.63723997970573,64.45459157787926,63.338406900050735,63.37899543378995
3,4,63.63606846799315,63.63636363636363,63.92045454545454,63.12905844155844,64.0523538961039,63.58563311688312,62.96672077922077,63.8291396103896,63.484172077922075,63.524756493506494,64.13352272727273,63.75811688311688,63.67694805194806,63.34212662337663,63.717532467532465,62.98701298701299,64.1030844155844,63.930600649350644,63.35227272727273,64.6103896103896,63.5551948051948,64.35673701298701,63.59577922077923,64.00162337662337,63.84943181818182,63.72767857142857,63.61607142857143,64.24512987012987,63.930600649350644,63.28125,63.83928571428571,63.5551948051948,62.97686688311688,63.45373376623377,63.524756493506494,63.159496753246756,63.886352105530186,63.62252663622526,64.51547437848808,63.267376966007106,64.21106037544394,64.35312024353121,63.87620497209539,63.25722983257231,63.24708269913749,63.0339928970066,63.59208523592085,64.63723997970573,64.45459157787926,63.338406900050735,63.37899543378995
4,5,63.72860375214343,63.605925324675326,64.38717532467533,63.230519480519476,64.12337662337663,63.69724025974026,63.179788961038966,64.26542207792207,63.75811688311688,63.47402597402597,64.01176948051948,64.0726461038961,64.12337662337663,63.16964285714286,64.08279220779221,63.331980519480524,64.37702922077922,63.798701298701296,63.524756493506494,64.93506493506493,63.57548701298701,64.50892857142857,63.72767857142857,64.39732142857143,64.0625,64.0219155844156,63.56534090909091,64.21469155844156,64.0523538961039,63.382711038961034,63.74797077922077,63.58563311688312,62.956574675324674,63.524756493506494,63.92045454545454,63.09862012987013,63.58193810248605,63.96752917300863,64.5662100456621,63.37899543378995,64.60679857940131,64.22120750887873,64.04870624048706,63.73414510400812,63.57179096905124,63.11516996448503,63.987823439878234,65.00253678335869,64.22120750887873,63.013698630136986,63.38914256722475
5,6,63.79252615237883,63.717532467532465,64.35673701298701,63.28125,64.15381493506493,63.72767857142857,63.21022727272727,64.22483766233766,63.84943181818182,63.46387987012987,64.1030844155844,64.17410714285714,64.11323051948052,63.271103896103895,64.11323051948052,63.35227272727273,64.42775974025975,63.89001623376623,63.57548701298701,64.99594155844156,63.66680194805194,64.5596590909091,63.8088474025974,64.42775974025975,64.0625,64.08279220779221,63.626217532467535,64.24512987012987,64.0219155844156,63.50446428571429,63.930600649350644,63.69724025974026,63.0275974025974,63.5349025974026,63.95089285714286,63.20008116883117,63.54134956874683,64.07914764079148,64.70826991374936,63.38914256722475,64.57635717909692,64.29223744292237,64.1298833079655,63.77473363774734,63.61237950279046,63.206494165398276,64.04870624048706,65.00253678335869,64.26179604261796,63.135464231354646,63.37899543378995
6,7,63.87816187586879,63.87987012987013,64.3364448051948,63.382711038961034,64.0726461038961,63.930600649350644,63.291396103896105,64.13352272727273,63.930600649350644,63.5146103896104,64.16396103896103,64.15381493506493,64.11323051948052,63.47402597402597,64.0726461038961,63.57548701298701,64.51907467532467,63.92045454545454,63.64650974025974,64.8843344155844,63.69724025974026,64.52922077922078,63.84943181818182,64.41761363636364,63.859577922077925,64.1030844155844,63.74797077922077,64.23498376623377,64.0219155844156,63.35227272727273,64.0726461038961,63.484172077922075,63.159496753246756,63.5551948051948,63.971185064935064,63.331980519480524,63.72399797057331,64.17047184170472,64.79959411466261,63.54134956874683,64.44444444444444,64.55606291222729,64.14003044140031,63.67326230339929,63.63267376966007,63.37899543378995,64.06900050735668,65.09386098427194,64.65753424657534,63.074581430745816,63.37899543378995
7,8,63.90961575534969,63.89001623376623,64.3060064935065,63.382711038961034,64.16396103896103,63.930600649350644,63.31168831168831,64.14366883116884,64.00162337662337,63.59577922077923,64.20454545454545,64.08279220779221,64.08279220779221,63.47402597402597,64.15381493506493,63.524756493506494,64.44805194805194,63.98133116883117,63.69724025974026,64.81331168831169,63.59577922077923,64.52922077922078,63.8291396103896,64.41761363636364,63.86972402597403,64.16396103896103,63.61607142857143,64.27556818181817,64.04220779220779,63.403003246753244,64.0523538961039,63.5349025974026,63.21022727272727,63.39285714285714,63.90016233766234,63.28125,63.754439370877726,64.19076610857432,64.76915271435819,63.60223236935566,64.46473871131406,64.57635717909692,64.15017757483511,63.67326230339929,63.4703196347032,63.307965499746324,64.14003044140031,65.07356671740233,64.67782851344495,62.95281582952816,63.45002536783358
8,9,63.94796919549094,63.72767857142857,64.28571428571429,62.550730519480524,64.13352272727273,64.01176948051948,63.31168831168831,64.11323051948052,63.859577922077925,62.54058441558441,62.92613636363637,64.00162337662337,64.08279220779221,63.484172077922075,64.13352272727273,63.484172077922075,64.44805194805194,63.940746753246756,63.90016233766234,64.8538961038961,63.69724025974026,64.43790584415584,63.859577922077925,64.49878246753246,63.72767857142857,63.961038961038966,63.8088474025974,64.0726461038961,64.09293831168831,63.230519480519476,63.69724025974026,63.605925324675326,63.149350649350644,63.32183441558441,63.8088474025974,63.44358766233766,63.43987823439878,64.10958904109589,64.85032978183663,63.52105530187722,64.30238457635717,64.43429731100963,64.19076610857432,63.63267376966007,63.57179096905124,63.31811263318112,64.18061897513952,65.05327245053273,64.69812278031456,62.70928462709284,63.409436834094365
9,10,63.97536450987753,63.50446428571429,64.11323051948052,63.05803571428571,64.08279220779221,63.92045454545454,63.28125,64.04220779220779,63.83928571428571,61.55641233766234,63.626217532467535,63.95089285714286,64.0523538961039,63.43344155844156,64.03206168831169,63.34212662337663,64.42775974025975,63.86972402597403,63.74797077922077,64.79301948051948,63.61607142857143,64.39732142857143,63.91030844155844,64.46834415584416,63.74797077922077,64.1030844155844,63.59577922077923,64.15381493506493,64.11323051948052,63.372564935064936,63.90016233766234,63.524756493506494,63.05803571428571,63.382711038961034,63.798701298701296,63.44358766233766,63.59208523592085,63.96752917300863,64.80974124809741,63.480466768138,64.21106037544394,64.50532724505327,64.1298833079655,63.50076103500761,63.63267376966007,63.31811263318112,64.17047184170472,65.07356671740233,64.62709284627093,62.93252156265855,63.307965499746324
