Depth,Train,Test1,Test2,Test3,Test4,Test5,Test6,Test7,Test8,Test9,Test10,Test11,Test12,Test13,Test14,Test15,Test16,Test17,Test18,Test19,Test20,Test21,Test22,Test23,Test24,Test25,Test26,Test27,Test28,Test29,Test30,Test31,Test32,Test33,Test34,Test35,Test36,Test37,Test38,Test39,Test40,Test41,Test42,Test43,Test44,Test45,Test46,Test47,Test48,Test49,Test50,Mean,STD
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7.918703542489788,7.477678571428571,8.239595050618673,7.347275729223996,7.931131809201242,7.996656450264698,8.027397260273974,8.471248246844318,8.335648791330925,6.898470097357441,7.609618104667609,8.118701007838744,7.597765363128492,7.888181566565182,7.8579418344519025,8.196271929824562,8.083663086489542,7.20112517580872,7.3643410852713185,8.256880733944955,7.989977728285077,7.657272986051808,6.856187290969899,7.976324689966178,7.858546168958743,8.111888111888112,7.445621862799777,7.9738933030647,7.313642756680731,7.90273556231003,7.575757575757576,8.101336302895323,7.618525623458481,7.856746252082177,8.51182197496523,7.711374277058662,7.558302894071368,8.758716875871688,7.892479267943953,8.011049723756907,7.967110859087042,7.884998576715057,7.47191011235955,7.8431372549019605,7.979017117614577,7.685973099094154,8.500557413600891,8.522238163558105,7.536397373679702,6.974813174647107,7.758381823219729,7.8341265618369835,0.4151440362656369
6,7.654746757740129,7.338169642857142,7.874015748031496,7.017061089708311,7.535986452159187,7.745890220117024,7.863013698630136,8.050490883590463,8.002222839677687,6.759388038942976,7.383309759547384,7.9227323628219475,7.374301675977654,7.777470246332688,7.606263982102908,7.8673245614035086,7.801017524024872,7.032348804500703,7.225913621262459,7.998853211009174,7.850779510022271,7.287218901224025,6.716833890746934,7.638105975197294,7.5217513331462245,8.0,7.2504182933630785,7.661748013620885,6.976090014064698,7.7369439071566735,7.4354657687991015,7.906458797327394,7.317073170731707,7.551360355358135,8.150208623087622,7.435968052877994,7.221129530767069,8.507670850767084,7.7209036316843,7.624309392265194,7.598525659200453,7.742670082550526,7.106741573033708,7.511737089201878,7.730535615681944,7.41147405984079,8.30546265328874,8.17790530846485,7.250927776191836,6.836424024356491,7.4535882515932395,7.576244089366197,0.39455100216459976
7,6.1262528181432625,6.026785714285714,6.130483689538808,5.5310952118877275,5.927180355630822,6.324881582613541,6.383561643835617,6.227208976157083,6.612948041122533,5.229485396383867,6.223479490806223,6.270996640537514,5.921787709497207,6.393578743426516,6.0402684563758395,6.798245614035088,6.218202374222725,5.288326300984529,5.869324473975636,6.192660550458716,6.430957683741648,5.92086535724452,5.32329988851728,6.200676437429538,5.47291608195341,6.20979020979021,5.8839933073061905,5.703745743473325,5.428973277074543,5.913235700469743,5.892255892255893,6.013363028953229,5.864620443957248,5.968906163242643,6.425591098748261,5.948774442302396,5.816240516999157,6.750348675034868,6.462682299113526,6.0497237569060776,5.869010490501843,6.404782237403928,5.702247191011236,6.020436343551506,6.156819436775262,6.011528959648641,6.633221850613155,6.771879483500717,5.994861547245218,5.231109880985331,5.652535328345802,6.034797874397441,0.39034522070781724
8,5.787517578517377,5.552455357142857,5.568053993250844,5.063291139240507,5.75783234546994,5.906937865700752,6.054794520547945,5.778401122019635,6.3073075854404,5.034770514603617,5.912305516265913,5.851063829787234,5.5027932960893855,5.95073346249654,5.844519015659955,6.4144736842105265,5.794234030525721,4.9789029535864975,5.62015503875969,5.647935779816514,5.957683741648108,5.579276971249644,4.988851727982162,5.9470124013528745,5.248386191411732,6.06993006993007,5.382041271611824,5.2213393870601585,5.232067510548523,5.554020447637469,5.499438832772166,5.595768374164811,5.535763222800767,5.302609661299278,5.8970792767732965,5.480583861195263,5.535262714245574,6.4156206415620645,6.062339147841007,5.801104972375691,5.47207258293167,6.177056646740677,5.365168539325843,5.7718862192764435,5.687465488680287,5.572330496843262,6.32664437012263,6.370157819225251,5.652298030259777,4.7882646000553555,5.292324743696315,5.666456220264689,0.3895146387966268
9,6.506283622402285,6.389508928571429,6.327334083239595,8.447991194276279,6.040079029071409,6.965728615213152,6.684931506849315,6.760168302945302,7.001944984717976,9.95827538247566,9.674681753889674,6.690929451287794,6.340782122905028,6.808746194298367,6.9630872483221475,7.264254385964912,6.585641605426796,5.8790436005625875,6.866002214839424,6.708715596330276,6.8763919821826285,6.46171363506974,5.68561872909699,7.1025930101465615,6.006174571989896,7.076923076923077,6.664807585052984,7.491486946651532,6.019690576652602,7.515888366952196,6.846240179573512,6.6815144766147,6.27569197040285,6.302054414214325,6.620305980528513,6.41696502340953,7.221129530767069,7.336122733612273,7.063197026022305,6.2983425414364635,6.379359228806352,7.771135781383433,6.264044943820226,6.655619994476663,6.847045831032579,6.533077134230029,7.357859531772576,7.345767575322812,6.651441621467313,6.116800442845281,6.345247991133278,6.851761972695548,0.7996560376714947
10,6.602825955936517,6.584821428571429,6.439820022497187,7.072096862960925,6.068303697431555,6.714962385065477,6.5479452054794525,6.6199158485273495,6.863017504862462,10.319888734353269,7.779349363507778,6.634938409854424,6.312849162011173,6.698034874065874,6.7114093959731544,7.538377192982456,6.557377049180328,5.79465541490858,6.533776301218161,6.622706422018348,6.653674832962138,6.290919442072303,5.797101449275362,7.1025930101465615,5.9500420993544765,7.1328671328671325,6.804238706079197,7.236095346197503,5.935302390998594,7.432992539375519,6.7340067340067336,6.514476614699332,6.166072896684023,6.302054414214325,6.620305980528513,6.361883778573397,7.193031750491712,7.419804741980474,7.0060051472690885,6.2430939226519335,6.379359228806352,7.600341588385994,6.151685393258427,7.042253521126761,6.902263942573164,6.5879769420807035,7.246376811594203,7.345767575322812,6.480159862974594,6.116800442845281,6.400665004156276,6.751289170380446,0.701325939831935
